-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.018,  0.115
-183.800, 80.199, 0.003,  0.148
-183.800, 80.199, -0.000,  0.181
-183.800, 80.198, -0.002,  0.214
-183.800, 80.197, -0.003,  0.247
-183.800, 80.197, -0.002,  0.280
-183.799, 80.196, -0.001,  0.313
-183.799, 80.195, 0.002,  0.346
-183.799, 80.194, 0.006,  0.379
-183.798, 80.193, 0.010,  0.412
-183.796, 80.192, 0.030,  0.445
-183.794, 80.189, 0.053,  0.478
-183.793, 80.187, 0.056,  0.511
-183.791, 80.184, 0.088,  0.544
-183.787, 80.181, 0.109,  0.577
-183.785, 80.176, 0.151,  0.610
-183.781, 80.169, 0.204,  0.643
-183.775, 80.162, 0.213,  0.676
-183.771, 80.156, 0.191,  0.709
-183.766, 80.150, 0.176,  0.742
-183.762, 80.144, 0.186,  0.775
-183.757, 80.137, 0.219,  0.808
-183.753, 80.129, 0.248,  0.841
-183.746, 80.120, 0.267,  0.874
-183.741, 80.112, 0.273,  0.907
-183.735, 80.103, 0.279,  0.940
-183.729, 80.094, 0.291,  0.973
-183.723, 80.085, 0.291,  1.006
-183.717, 80.075, 0.340,  1.039
-183.710, 80.062, 0.370,  1.072
-183.702, 80.050, 0.393,  1.105
-183.694, 80.037, 0.403,  1.138
-183.686, 80.023, 0.439,  1.171
-183.678, 80.010, 0.419,  1.204
-183.671, 79.997, 0.412,  1.237
-183.663, 79.984, 0.415,  1.270
-183.655, 79.971, 0.410,  1.303
-183.647, 79.957, 0.439,  1.336
-183.639, 79.943, 0.449,  1.369
-183.630, 79.929, 0.457,  1.402
-183.622, 79.914, 0.489,  1.435
-183.612, 79.899, 0.508,  1.468
-183.603, 79.882, 0.528,  1.501
-183.593, 79.866, 0.523,  1.534
-183.584, 79.849, 0.533,  1.567
-183.574, 79.832, 0.577,  1.600
-183.564, 79.813, 0.607,  1.633
-183.554, 79.794, 0.591,  1.666
-183.545, 79.776, 0.580,  1.699
-183.534, 79.758, 0.595,  1.732
